Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
139103,Browsebug,Search,Women 35-44,60 days,Website,0.12,Rupiah,4.12,Barapas,Assamese,364,8276,10,Foodies,1/8/2021
171944,Kaymbo,Display,Women 25-34,30 days,Youtube,0.05,Rial,5.94,Al Jamīmah,Hindi,918,5826,4,Fashionistas,1/15/2021
128315,Skipstorm,Influencer,Women 25-34,15 days,Facebook,0.08,Dinar,2.93,Jevremovac,Dhivehi,706,3574,3,Tech Enthusiasts,1/1/2021
138046,Realblab,Influencer,Women 35-44,60 days,Google Ads,0.03,Peso,6.25,Bambang,Lithuanian,715,2822,9,Foodies,1/25/2021
77909,Minyx,Email,All Ages,30 days,Website,0.12,Koruna,4.07,Lešná,Georgian,836,2095,8,Outdoor Adventurers,1/2/2021
160876,Thoughtblab,Search,Women 25-34,60 days,Email,0.03,Krona,4.48,Söderhamn,Persian,603,8569,3,Outdoor Adventurers,1/26/2021
92938,Kazio,Search,All Ages,30 days,Facebook,0.13,Peso,2.66,Santa Catalina Norte,Hindi,587,4806,4,Outdoor Adventurers,1/7/2021
129558,Chatterpoint,Email,All Ages,45 days,Instagram,0.05,Yen,3.02,Kaseda-shirakame,Tswana,966,4140,6,Outdoor Adventurers,1/22/2021
129552,Eamia,Email,Men 18-24,45 days,Website,0.09,Yuan Renminbi,4.76,Shangcai Zhongxing,Luxembourgish,932,5108,8,Foodies,1/11/2021
179520,Dabtype,Display,Men 25-34,30 days,Facebook,0.11,Ruble,6.86,Leonidovo,Gujarati,535,2018,9,Health & Wellness,1/25/2021
180570,Edgepulse,Display,All Ages,30 days,Youtube,0.08,Peso,4.37,Puerto Asís,Moldovan,949,8436,7,Fashionistas,1/14/2021
155708,Feednation,Influencer,Men 25-34,15 days,Youtube,0.07,Real,4.08,Águas Formosas,Lao,989,7462,9,Foodies,1/29/2021
116240,Jabberbean,Display,Men 18-24,60 days,Facebook,0.06,Peso,7.28,Parista,Luxembourgish,504,8913,4,Foodies,1/12/2021
70214,Quimba,Display,Men 18-24,60 days,Youtube,0.12,Rupee,2.79,Fort Abbās,Tswana,462,6579,8,Fashionistas,1/16/2021
166948,Photolist,Display,Men 25-34,60 days,Email,0.04,Ruble,3.05,Mel’nikovo,Icelandic,490,8708,6,Outdoor Adventurers,1/13/2021
77550,Jaxbean,Influencer,Women 35-44,45 days,Facebook,0.07,Rupiah,3.44,Cipatujah,Danish,892,7546,4,Tech Enthusiasts,1/6/2021
172928,Brainsphere,Display,All Ages,15 days,Facebook,0.05,Yuan Renminbi,4.69,Bahaodi,Moldovan,657,5423,3,Health & Wellness,1/13/2021
164091,Jabberstorm,Search,Women 25-34,30 days,Google Ads,0.02,Euro,4.84,Cergy-Pontoise,Portuguese,732,7871,5,Tech Enthusiasts,1/10/2021
153928,Brainbox,Influencer,Women 35-44,30 days,Website,0.06,Rupiah,3.55,Banjar Dauhpura,Kannada,621,4778,9,Foodies,1/24/2021
112349,Wordify,Display,All Ages,45 days,Instagram,0.06,Rupiah,6.65,Cililitan,Croatian,700,5749,7,Foodies,1/3/2021
131143,Photobean,Email,Women 35-44,30 days,Youtube,0.1,Euro,5.35,Sarrazola,Papiamento,568,2540,5,Fashionistas,1/10/2021
142687,Skiba,Display,Women 25-34,30 days,Youtube,0.11,Dollar,5.79,Cockburn Town,Armenian,814,2475,7,Tech Enthusiasts,1/2/2021
93237,Vinte,Influencer,All Ages,15 days,Facebook,0.13,Peso,3.7,Camino Real,Telugu,425,3423,10,Fashionistas,1/20/2021
132405,Zoombeat,Display,Men 18-24,45 days,Youtube,0.11,Yuan Renminbi,3.34,Jiefu,Lao,495,4817,5,Tech Enthusiasts,1/11/2021
172244,Youopia,Email,Men 25-34,30 days,Instagram,0.07,Rupiah,7.35,Malo,Macedonian,685,8438,3,Health & Wellness,1/13/2021
169585,Devpulse,Email,Men 18-24,30 days,Google Ads,0.11,Rupiah,7.49,Rancapanjang,Māori,440,3288,8,Outdoor Adventurers,1/17/2021
150336,Babbleopia,Display,Women 35-44,45 days,Instagram,0.08,Peso,6.6,Punta Alta,Zulu,721,3755,6,Fashionistas,1/18/2021
140766,Youtags,Display,Women 25-34,45 days,Instagram,0.06,Ruble,4.94,Tomilino,Persian,870,8323,8,Foodies,1/28/2021
113050,Ooba,Influencer,Women 35-44,45 days,Instagram,0.08,Rial,5.54,Māwiyah,Yiddish,905,5213,4,Foodies,1/22/2021
86627,Quinu,Display,Men 18-24,30 days,Google Ads,0.08,Ruble,7.51,Pitkyaranta,Assamese,420,5043,8,Outdoor Adventurers,1/7/2021
101542,Mycat,Email,Women 25-34,30 days,Email,0.09,Yuan Renminbi,4.26,Huangshui,Tok Pisin,667,7523,4,Health & Wellness,1/4/2021
158207,Mynte,Display,Men 25-34,45 days,Website,0.06,Baht,7.43,Ta Phraya,Quechua,414,5263,3,Tech Enthusiasts,1/9/2021
181211,Brainverse,Influencer,Men 25-34,45 days,Facebook,0.09,Zloty,4.57,Baruchowo,Hiri Motu,954,7446,9,Tech Enthusiasts,1/16/2021
146846,Reallinks,Email,Men 18-24,60 days,Youtube,0.07,Rupiah,2.62,Kramat,Estonian,777,5828,8,Health & Wellness,1/26/2021
184227,Skajo,Influencer,Men 18-24,45 days,Google Ads,0.03,Krona,4.58,Stockholm,Korean,396,3087,10,Health & Wellness,1/11/2021
160614,Devpulse,Search,Women 25-34,15 days,Email,0.02,Peso,5.02,La Paz,Czech,933,2148,10,Tech Enthusiasts,1/23/2021
185692,Quatz,Email,Women 25-34,45 days,Email,0.06,Real,7.39,Alagoinhas,Hebrew,810,2801,10,Tech Enthusiasts,1/21/2021
85322,Bubbletube,Influencer,Men 18-24,30 days,Youtube,0.03,Rupiah,6.79,Nangger,Croatian,417,3522,4,Tech Enthusiasts,1/15/2021
160689,Ntag,Display,Women 25-34,45 days,Email,0.11,Dollar,7.1,Cayambe,Portuguese,483,4040,7,Health & Wellness,1/12/2021
182621,Eadel,Search,Men 25-34,60 days,Website,0.04,Ruble,3.69,Suvorov,Lao,931,4418,9,Outdoor Adventurers,1/22/2021
70334,Ailane,Search,Men 25-34,30 days,Youtube,0.06,Peso,4.38,San José de Ocoa,Punjabi,673,6791,4,Outdoor Adventurers,1/12/2021
82601,Avamba,Search,Men 18-24,60 days,Instagram,0.12,Denar,2.46,Šuto Orizare,Bosnian,566,8461,10,Health & Wellness,1/30/2021
142214,Skajo,Influencer,Women 25-34,45 days,Website,0.11,Peso,4.14,Nuing,Papiamento,576,5591,3,Tech Enthusiasts,1/6/2021
158832,Avamm,Search,Women 35-44,45 days,Website,0.09,Peso,4.69,Saguday,Tsonga,490,2103,10,Outdoor Adventurers,1/28/2021
106507,Realblab,Email,Women 25-34,30 days,Youtube,0.08,Hryvnia,4.27,Gradizhsk,Marathi,418,3035,4,Tech Enthusiasts,1/22/2021
159221,Tagpad,Display,Men 18-24,15 days,Website,0.02,Peso,7.33,Pellegrini,Albanian,396,2408,8,Foodies,1/11/2021
145678,Roodel,Email,All Ages,30 days,Google Ads,0.07,Dinar,7.22,Apatin,Gagauz,397,7075,3,Outdoor Adventurers,1/2/2021
106149,Twitterbridge,Email,Men 25-34,45 days,Google Ads,0.08,Ruble,7.4,Vykhino-Zhulebino,Burmese,898,6932,8,Foodies,1/21/2021
168568,Jetpulse,Influencer,Women 25-34,15 days,Google Ads,0.11,Rupiah,6.16,Tambakan,Malay,749,2553,7,Fashionistas,1/23/2021
118317,Photobug,Search,Women 25-34,30 days,Google Ads,0.04,Shekel,7.45,Bayt Wazan,Lithuanian,980,4463,10,Fashionistas,1/12/2021
151140,Katz,Influencer,All Ages,30 days,Email,0.09,Won,2.57,Kwangyang,Icelandic,891,7213,4,Fashionistas,1/6/2021
132146,Tagfeed,Influencer,All Ages,60 days,Facebook,0.09,Yuan Renminbi,3.24,Huangqiao,Bengali,677,6004,6,Outdoor Adventurers,1/10/2021
139881,Linkbridge,Display,Men 18-24,60 days,Website,0.05,Real,6.44,Salinas,Kazakh,987,7530,6,Fashionistas,1/10/2021
128956,Quimba,Influencer,Men 25-34,60 days,Website,0.11,Koruna,5.79,Velké Němčice,Malayalam,860,8609,4,Outdoor Adventurers,1/7/2021
149698,Zoonoodle,Search,Men 25-34,60 days,Facebook,0.09,Peso,2.72,Villa Dolores,Sotho,965,8988,6,Foodies,1/26/2021
121235,Centidel,Influencer,Men 25-34,30 days,Facebook,0.07,Yuan Renminbi,3.58,Qibu,Thai,862,8426,9,Fashionistas,1/17/2021
75622,Ainyx,Email,Men 18-24,15 days,Facebook,0.07,Yen,3.58,Takasaki,Kyrgyz,944,3928,6,Tech Enthusiasts,1/29/2021
73239,Agivu,Influencer,Men 25-34,15 days,Facebook,0.11,Zloty,7.19,Opatowiec,Spanish,690,6790,8,Tech Enthusiasts,1/21/2021
151279,Linktype,Email,Men 18-24,45 days,Google Ads,0.1,Lek,4.48,Skënderbegas,Hiri Motu,696,2117,6,Outdoor Adventurers,1/2/2021
158804,Innojam,Influencer,Men 25-34,60 days,Instagram,0.13,Birr,4.03,Wenjī,Japanese,609,5585,5,Tech Enthusiasts,1/13/2021
96049,Yata,Display,Women 25-34,30 days,Facebook,0.12,Naira,6.25,Gandi,Fijian,658,1688,8,Health & Wellness,1/16/2021
111021,InnoZ,Email,Men 18-24,45 days,Instagram,0.07,Dong,7.04,Tân Châu,Arabic,508,7296,9,Foodies,1/15/2021
78707,Brainverse,Search,Women 25-34,45 days,Youtube,0.11,Euro,7.02,Vessada,German,646,6491,5,Tech Enthusiasts,1/4/2021
77063,Skinder,Display,Women 35-44,60 days,Google Ads,0.07,Rupee,3.16,Haveliān,Kannada,392,2802,6,Tech Enthusiasts,1/14/2021
71604,DabZ,Display,Men 18-24,15 days,Google Ads,0.09,Ruble,6.9,Ryazhsk,Tsonga,662,2825,7,Health & Wellness,1/6/2021
150606,Gabvine,Influencer,All Ages,30 days,Youtube,0.09,Taka,4.03,Gafargaon,Arabic,938,6677,9,Outdoor Adventurers,1/12/2021
101182,Kwideo,Display,Men 25-34,30 days,Facebook,0.11,Peso,7.38,Anguil,Romanian,942,2582,8,Fashionistas,1/17/2021
138304,Riffpedia,Influencer,Women 25-34,30 days,Facebook,0.11,Dollar,4.29,Los Angeles,Kurdish,448,4071,6,Health & Wellness,1/23/2021
97390,Skiptube,Display,All Ages,45 days,Email,0.07,Dinar,2.94,Gakovo,Fijian,485,5512,9,Foodies,1/24/2021
90424,Dynabox,Display,Women 25-34,45 days,Youtube,0.05,Yuan Renminbi,4.83,Laoxingchang,French,555,2329,7,Fashionistas,1/2/2021
140176,Gigaclub,Display,All Ages,60 days,Email,0.03,Peso,5.18,Tiguion,Hebrew,712,2427,4,Health & Wellness,1/21/2021
134265,Quimm,Search,Men 18-24,30 days,Facebook,0.05,Yuan Renminbi,4.46,Jiuxi,Japanese,407,5579,8,Fashionistas,1/17/2021
132644,Thoughtmix,Email,Women 25-34,45 days,Facebook,0.09,Rupiah,2.74,Gerdu,Ndebele,416,5601,9,Outdoor Adventurers,1/28/2021
163883,Quire,Email,All Ages,45 days,Google Ads,0.05,Yuan Renminbi,4.88,Minggang,Malagasy,951,7945,10,Fashionistas,1/24/2021
157173,Brightbean,Search,Women 25-34,30 days,Instagram,0.1,Rupiah,7.13,Taman,Hungarian,869,4725,9,Tech Enthusiasts,1/9/2021
161990,Browsecat,Search,Men 25-34,45 days,Website,0.12,Yuan Renminbi,6.31,Xiaoyue,Maltese,806,5113,4,Health & Wellness,1/11/2021
130272,Thoughtworks,Display,Men 18-24,15 days,Instagram,0.07,Rupiah,3.95,Banjar Kawan,Latvian,947,7007,9,Tech Enthusiasts,1/16/2021
151054,Mydeo,Search,Men 25-34,30 days,Facebook,0.12,Yuan Renminbi,5.93,Jiang’an,Arabic,589,4365,9,Outdoor Adventurers,1/5/2021
117464,Thoughtmix,Influencer,All Ages,60 days,Website,0.03,Yuan Renminbi,6.78,Jiuhu,Icelandic,729,7270,3,Health & Wellness,1/16/2021
182667,Blogpad,Email,Men 25-34,15 days,Email,0.12,Euro,2.58,Camacha,Kannada,850,4935,4,Outdoor Adventurers,1/22/2021
181260,Eabox,Email,Women 35-44,30 days,Youtube,0.12,Rupiah,5.48,Laleng,Kannada,686,4625,5,Outdoor Adventurers,1/30/2021
78782,Jayo,Display,Men 25-34,30 days,Instagram,0.06,Dinar,4.53,Al Matlīn,Dzongkha,626,5134,5,Tech Enthusiasts,1/23/2021
114712,Edgeify,Search,Men 25-34,15 days,Youtube,0.13,Real,5.23,Arroio Grande,Punjabi,408,6058,9,Fashionistas,1/1/2021
165727,Kazu,Influencer,Women 35-44,45 days,Google Ads,0.08,Ringgit,5.97,Labuan,Filipino,962,3750,6,Foodies,1/3/2021
80537,Oyonder,Search,Women 25-34,60 days,Google Ads,0.06,Rial,4.95,Yarīm,Dari,414,8692,3,Health & Wellness,1/24/2021
168767,Abata,Search,All Ages,45 days,Instagram,0.04,Ruble,3.5,Hal’shany,Georgian,415,5823,6,Foodies,1/11/2021
88023,Yombu,Influencer,All Ages,45 days,Email,0.06,Yuan Renminbi,5.88,Puwa,Oriya,700,6773,10,Outdoor Adventurers,1/16/2021
85021,Livetube,Influencer,All Ages,45 days,Instagram,0.1,Yuan Renminbi,6.38,Siheyuan,Dutch,833,8751,4,Foodies,1/27/2021
103265,Flipbug,Email,Men 25-34,15 days,Email,0.07,Rupiah,6.74,Tambakrejo,Malay,841,5664,10,Outdoor Adventurers,1/22/2021
155177,Youopia,Display,All Ages,45 days,Instagram,0.06,Ruble,3.37,Gvardeysk,Lithuanian,549,2236,3,Fashionistas,1/20/2021
130469,Pixonyx,Influencer,All Ages,60 days,Website,0.02,Ruble,3.99,Elekmonar,Amharic,736,4385,3,Fashionistas,1/7/2021
156220,Tagchat,Display,Women 35-44,30 days,Email,0.1,Euro,4.78,Fécamp,Indonesian,577,8857,9,Fashionistas,1/20/2021
93902,Teklist,Search,Women 25-34,60 days,Email,0.08,Yuan Renminbi,4.3,Hongling,Telugu,601,5466,7,Outdoor Adventurers,1/25/2021
123468,Shufflebeat,Influencer,Men 25-34,60 days,Website,0.04,Yuan Renminbi,4.25,Zhongling,Hungarian,976,5551,8,Tech Enthusiasts,1/4/2021
180940,Yozio,Email,All Ages,60 days,Facebook,0.08,Euro,5.68,Saint-Claude,Hebrew,506,6485,5,Outdoor Adventurers,1/13/2021
159960,Twitterworks,Email,Women 25-34,45 days,Email,0.07,Yuan Renminbi,2.81,Lingbei,Punjabi,897,6479,5,Tech Enthusiasts,1/12/2021
185994,Twitternation,Influencer,Men 25-34,60 days,Instagram,0.1,Euro,3.61,Grenoble,West Frisian,637,3066,10,Foodies,1/24/2021
180947,Rhynoodle,Search,Men 18-24,45 days,Instagram,0.03,Rupiah,5.46,Purwosari,Khmer,936,6253,5,Outdoor Adventurers,1/1/2021
128412,Tambee,Email,All Ages,30 days,Google Ads,0.04,Somoni,3.47,Chubek,Haitian Creole,690,7285,9,Health & Wellness,1/22/2021
167692,Yodoo,Influencer,Women 35-44,15 days,Instagram,0.05,Lempira,7.07,Los Tangos,Kannada,692,4354,5,Outdoor Adventurers,1/12/2021
116878,Fiveclub,Influencer,Women 35-44,60 days,Email,0.11,Real,3.17,Penedo,Norwegian,735,3152,3,Foodies,1/23/2021
91466,Yakijo,Display,Women 35-44,60 days,Email,0.09,Ruble,6.62,Sergiyev Posad,Hebrew,794,6213,9,Health & Wellness,1/30/2021
167567,Fiveclub,Email,Men 25-34,30 days,Facebook,0.07,Pound,7.02,Damascus,Indonesian,889,3121,4,Health & Wellness,1/30/2021
76991,Skinder,Influencer,Women 25-34,45 days,Website,0.06,Pound,4.45,Umm Ruwaba,Malayalam,448,1968,10,Tech Enthusiasts,1/3/2021
85055,Skibox,Display,Men 25-34,45 days,Website,0.13,Yuan Renminbi,3.68,Louguan,Northern Sotho,724,5032,3,Outdoor Adventurers,1/24/2021
138078,Dablist,Display,Women 35-44,60 days,Youtube,0.04,Yuan Renminbi,6.5,Dongchen,Lao,384,6491,10,Tech Enthusiasts,1/19/2021
153257,Eabox,Influencer,Women 35-44,15 days,Youtube,0.11,Dong,5.64,Yên Lạc,Papiamento,479,2120,7,Health & Wellness,1/24/2021
167347,Yozio,Email,Women 35-44,60 days,Instagram,0.02,Rupiah,5.01,Kalapadua,Kazakh,861,5334,7,Fashionistas,1/8/2021
146854,Talane,Display,Women 35-44,60 days,Instagram,0.09,Real,6.19,Lages,Dari,448,6194,7,Foodies,1/4/2021
105327,Tanoodle,Influencer,Men 25-34,30 days,Instagram,0.1,Euro,4.91,Vinhas,Lao,969,2359,10,Outdoor Adventurers,1/19/2021
146671,Jaloo,Email,Men 25-34,45 days,Instagram,0.08,Rand,4.56,Ventersburg,Burmese,991,7303,9,Tech Enthusiasts,1/9/2021
134294,Yodo,Email,Men 18-24,60 days,Email,0.04,Euro,5.05,Porta,Guaraní,657,8169,7,Tech Enthusiasts,1/8/2021
80438,Trunyx,Search,Men 18-24,15 days,Instagram,0.1,Rupiah,6.25,Maunggora,Malay,637,7335,6,Health & Wellness,1/29/2021
124473,Ntag,Display,All Ages,15 days,Email,0.1,Yuan Renminbi,4.2,Taobei,Bulgarian,726,3591,4,Fashionistas,1/4/2021
103465,Skyvu,Display,Men 18-24,15 days,Google Ads,0.1,Ruble,5.12,Ustyuzhna,Lao,700,1761,9,Outdoor Adventurers,1/15/2021
165751,Yakijo,Email,Women 25-34,45 days,Instagram,0.04,Rupiah,5.07,Kalianda,Sotho,776,2846,9,Tech Enthusiasts,1/11/2021
79144,Gabtype,Display,Women 25-34,45 days,Email,0.04,Yuan Renminbi,5.42,Houzhen,Ndebele,631,6813,4,Tech Enthusiasts,1/10/2021
119233,Meevee,Email,All Ages,60 days,Email,0.1,Yuan Renminbi,6.88,Hengfan,Sotho,758,4026,8,Health & Wellness,1/5/2021
73447,Rhynoodle,Search,Men 18-24,30 days,Instagram,0.05,Euro,3.99,Quetigny,English,927,6511,5,Tech Enthusiasts,1/15/2021
72669,Twitterwire,Email,Men 25-34,45 days,Website,0.07,Rial,7.38,As Sayyānī,Tetum,430,5895,7,Health & Wellness,1/20/2021
102411,Zoomlounge,Search,Women 35-44,30 days,Instagram,0.08,Peso,6.66,Emiliano Zapata,Assamese,886,7548,6,Fashionistas,1/23/2021
176768,Eayo,Email,Women 25-34,45 days,Instagram,0.13,Rupiah,5.64,Kedungcangkring,English,926,2367,8,Tech Enthusiasts,1/6/2021
84722,Twiyo,Search,Women 25-34,30 days,Instagram,0.09,Dollar,4.99,Anchorage,Kannada,588,3429,10,Tech Enthusiasts,1/11/2021
123658,Kazu,Email,All Ages,30 days,Google Ads,0.11,Euro,3.99,Nantes,Armenian,599,1903,10,Tech Enthusiasts,1/17/2021
169318,Quaxo,Email,Women 35-44,30 days,Youtube,0.05,Baht,7.06,Phimai,Albanian,638,6194,9,Tech Enthusiasts,1/2/2021
75448,Browsecat,Display,Men 18-24,15 days,Instagram,0.1,Dollar,3.7,Oneop,Punjabi,784,5126,4,Health & Wellness,1/1/2021
150355,Skyble,Display,Women 35-44,30 days,Facebook,0.07,Dollar,5.86,Minneapolis,Korean,955,5646,5,Tech Enthusiasts,1/24/2021
130396,Centizu,Email,Men 18-24,15 days,Website,0.11,Baht,5.94,Ranot,Ndebele,879,6413,3,Outdoor Adventurers,1/11/2021
103783,Meevee,Email,Women 25-34,60 days,Google Ads,0.11,Yuan Renminbi,4.75,Yangdu,Pashto,659,7441,7,Foodies,1/26/2021
73733,Centidel,Influencer,All Ages,45 days,Youtube,0.09,Afghani,7.06,Dowr-e Rabāţ,Bosnian,523,8233,3,Outdoor Adventurers,1/2/2021
119218,Wordpedia,Display,Men 18-24,30 days,Google Ads,0.07,Euro,2.95,Aroeira,Haitian Creole,372,6913,7,Fashionistas,1/7/2021
149587,Centidel,Display,All Ages,15 days,Facebook,0.1,Afghani,4.29,Sang-e Māshah,Gagauz,793,6661,3,Fashionistas,1/27/2021
139486,Quinu,Email,Women 35-44,30 days,Google Ads,0.05,Euro,4.14,Reutlingen,Swedish,819,4537,10,Tech Enthusiasts,1/16/2021
81444,Quimm,Influencer,Men 25-34,60 days,Website,0.06,Yuan Renminbi,5.5,Henglin,Montenegrin,527,5916,10,Outdoor Adventurers,1/2/2021
180120,Leenti,Search,All Ages,30 days,Youtube,0.1,Peso,5.47,Calumpang,Korean,864,3785,6,Tech Enthusiasts,1/16/2021
142810,Skibox,Search,Men 18-24,60 days,Email,0.04,Rupiah,5.31,Grati Satu,Danish,918,1711,8,Health & Wellness,1/16/2021
110933,Tagchat,Display,All Ages,15 days,Facebook,0.1,Rand,5.36,Orkney,Icelandic,562,3584,5,Fashionistas,1/18/2021
170624,Zava,Influencer,Women 25-34,60 days,Instagram,0.12,Yuan Renminbi,5.54,Xibing,German,930,6672,9,Health & Wellness,1/15/2021
89317,Oyondu,Influencer,Men 25-34,30 days,Instagram,0.08,Riels,3.46,Kampong Thom,Dari,560,2016,8,Fashionistas,1/15/2021
103203,Gigabox,Influencer,Women 25-34,15 days,Email,0.11,Baht,5.82,Soeng Sang,Quechua,788,6879,3,Health & Wellness,1/2/2021
126101,Livepath,Email,Women 35-44,60 days,Email,0.07,Peso,4.02,Moa,Icelandic,734,4105,10,Outdoor Adventurers,1/12/2021
134221,Mita,Influencer,Women 35-44,60 days,Google Ads,0.13,Krona,3.66,Uppsala,Dzongkha,684,5380,3,Fashionistas,1/17/2021
103872,Voonyx,Influencer,Women 25-34,45 days,Facebook,0.07,Dram,2.56,Arshaluys,Norwegian,395,5788,4,Foodies,1/15/2021
155584,Thoughtstorm,Email,All Ages,30 days,Website,0.04,Won,5.95,Heung-hai,Portuguese,772,3209,10,Tech Enthusiasts,1/4/2021
170715,Browsebug,Search,Men 25-34,60 days,Google Ads,0.09,Rupiah,6.43,Kuncen,German,738,5586,9,Foodies,1/6/2021
103100,Demivee,Display,Women 25-34,60 days,Email,0.1,Krona,4.59,Linköping,Irish Gaelic,469,7020,7,Outdoor Adventurers,1/30/2021
184589,Yodo,Influencer,Men 25-34,45 days,Google Ads,0.05,Kyat,7.36,Mawlaik,Luxembourgish,461,4897,4,Fashionistas,1/12/2021
138730,Voonyx,Search,All Ages,60 days,Facebook,0.07,Peso,5.62,Cotabato,Dhivehi,511,2473,3,Outdoor Adventurers,1/19/2021
